id;creation_date;banned_user;banned_date
1;2019-10-04T18:36:33;false;2019-10-04T23:14:44
2;2019-10-04T23:02:25;true;2019-10-04T18:36:22
3;2019-10-04T06:24:50;true;2019-10-04T05:52:56
4;2019-10-04T04:24:51;true;2019-10-04T08:50:07
5;2019-10-04T21:36:04;true;2019-10-04T14:46:30
6;2019-10-04T07:45:09;false;2019-10-04T01:25:10
7;2019-10-04T02:39:50;true;2019-10-04T08:25:09
8;2019-10-04T12:35:29;false;2019-10-04T21:05:18
9;2019-10-04T21:51:10;false;2019-10-04T15:54:53
10;2019-10-04T07:19:34;false;2019-10-04T07:23:46
