id;creation_date;image;image_content_type
1;2019-10-04T01:48:49;../fake-data/blob/hipster.png;image/png
2;2019-10-04T07:19:24;../fake-data/blob/hipster.png;image/png
3;2019-10-04T08:49:29;../fake-data/blob/hipster.png;image/png
4;2019-10-04T09:26:33;../fake-data/blob/hipster.png;image/png
5;2019-10-04T23:09:29;../fake-data/blob/hipster.png;image/png
6;2019-10-04T14:26:39;../fake-data/blob/hipster.png;image/png
7;2019-10-04T20:56:36;../fake-data/blob/hipster.png;image/png
8;2019-10-04T00:48:57;../fake-data/blob/hipster.png;image/png
9;2019-10-04T07:27:18;../fake-data/blob/hipster.png;image/png
10;2019-10-04T00:00:40;../fake-data/blob/hipster.png;image/png
